(Parent) ASIN,(Child) ASIN,Title,Sessions - Mobile App,Sessions - Browser,Sessions - Total,Session Percentage - Mobile App,Session Percentage - Browser,Session Percentage - Total,Page Views - Mobile App,Page Views - Browser,Page Views - Total,Page Views Percentage - Mobile App,Page Views Percentage - Browser,Page Views Percentage - Total,Featured Offer Percentage,Units Ordered,Unit Session Percentage,Ordered Product Sales,Total Order Items,Date
B09M3T51GH,B09M3T51GH,Pure Tree Certified Organic Jeera Seeds | 250 Gm| Cumin Seeds | Sabut Jeera | Jeera Whole Spices | Jeelakarra | Zeera | Organic Spices | Boost Immunity | For Curries & Veg,16,2,18,0.88%,0.37%,0.76%,20,2,22,0.73%,0.17%,0.57%,100.00%,11,61.11%,"₹3,080.00",10,11-05-2025
B09M3QD9PJ,B09M3QD9PJ,Pure Tree Certified Organic Coriander Seeds | 250 g | Dhaniya | Coriander Whole | Khada Dhania | Sabut Daniyalu Seeds with Aroma & Flavour,26,6,32,1.43%,1.12%,1.36%,43,8,51,1.57%,0.70%,1.31%,100.00%,18,56.25%,"₹2,592.00",9,11-05-2025
B09M3RJTWD,B09M3RJTWD,"Pure Tree Certified Organic Fennel Seeds | 250 gm | Saunf, Variyali | Perumjeerakam Whole Spices Sombu Whole | Fennel seeds Saunf | Organic Saunf Rich Flavour Sombu",40,3,43,2.20%,0.56%,1.82%,60,4,64,2.19%,0.35%,1.65%,100.00%,10,23.26%,"₹2,540.00",9,11-05-2025
B09M3PB88S,B09M3PB88S,Pure Tree Certified Organic Mustard Seeds Big | 250 Gm | Black Mustard Rai Seeds Big | Sasive Seeds Whole Kali Rai Dana | Sarson Dana Indian Spice Gluten Free,21,8,29,1.15%,1.49%,1.23%,37,9,46,1.35%,0.79%,1.18%,100.00%,14,48.28%,"₹1,764.00",7,11-05-2025
B0BMX6S7G8,B0BMX6S7G8,Pure Tree Certified Organic Tej Patta Leaves | 50 g | Bay Leaf | Whole Spices | Aromatic & Flavourful Biryani Leaf | Tejpatta Spice,9,4,13,0.49%,0.74%,0.55%,14,5,19,0.51%,0.44%,0.49%,100.00%,7,53.85%,"₹1,162.00",7,11-05-2025
B09WN1DH52,B09WN1DH52,Pure Tree Certified Organic Dalchini Powder | 60 Gm | Glass Jar | Organic Cinnamon Powder | Dal Chini Powder Indian Spices Aroma & Flavour | Gluten Free Cineman Dalchini,9,2,11,0.49%,0.37%,0.47%,11,2,13,0.40%,0.17%,0.33%,100.00%,6,54.55%,"₹1,038.00",6,11-05-2025
B004GEWJVE,B004GEWJVE,Nordic Naturals Ultimate Omega 3 Fish Oil In Fish Gelatin | 1280Mg EPA & DHA Supplement | Omega 3 Supplement For Pescatarian & Restricted Diets | 60 Fish Oil Lemon Flavour Softgel,33,7,40,1.81%,1.30%,1.70%,48,13,61,1.75%,1.14%,1.57%,98.21%,4,10.00%,"₹17,680.00",4,11-05-2025
B09M3Q32GM,B09M3Q32GM,Pure Tree Certified Organic Methi Dana | 250 g | Organic Fenugreek Seeds | Methi Seeds Whole Spices | Menthulu Seeds | Vendayam | Rich in Aroma and Flavour,11,3,14,0.60%,0.56%,0.59%,15,4,19,0.55%,0.35%,0.49%,100.00%,4,28.57%,₹700.00,4,11-05-2025
B0014FUQ1S,B0014FUQ1S,Nordic Naturals Ultimate Omega - Minis 1120 Mg Omega 3 Fish Oil Supplement EPA & DHA | Optimum Wellness & Heart Health | Strawberry Fish Oil For Men And Women | 60 Mini Softgels,23,10,33,1.26%,1.86%,1.40%,38,18,56,1.39%,1.57%,1.44%,68.63%,3,9.09%,"₹15,177.00",3,11-05-2025
B002CQU4ZG,B002CQU4ZG,"Nordic Naturals Omega 3 Fish Oil EPA And DHA | 690Mg Omega 3 Fish Oil Support Brain, Heart Health & Immunity | Omega Fish Oil For Men & Women Lemon Fish Oil Flavour 60 Softgels",50,25,75,2.75%,4.65%,3.18%,75,38,113,2.74%,3.32%,2.91%,98.99%,3,4.00%,"₹8,841.64",3,11-05-2025
B09M3SYM74,B09M3SYM74,Pure Tree Certified Organic Carom Seeds | 250 g | Ajwain Seeds | Omam | Vamu | Ajowan | Ayamodakam Seeds Rich In Antioxidants,13,3,16,0.71%,0.56%,0.68%,17,3,20,0.62%,0.26%,0.51%,100.00%,3,18.75%,₹777.00,3,11-05-2025
B09WMZ133G,B09WMZ133G,Pure Tree Certified Organic Carom Seeds | 150 g | Glass Jar | Ajwain Seeds | Omam | Vamu | Ajowan | Ayamodakam Seeds Rich In Antioxidants,9,0,9,0.49%,0.00%,0.38%,13,0,13,0.47%,0.00%,0.33%,100.00%,6,66.67%,"₹1,440.00",3,11-05-2025
B09WN2N79P,B09WN2N79P,Pure Tree Certified Organic Laung | 100 Gm | Glass Jar | Organic Cloves Whole | Lavang Whole Spices | Aromatic & Flavorful Clove Seeds Khada Masala | Dried Cloves | Lavangam,6,2,8,0.33%,0.37%,0.34%,7,3,10,0.26%,0.26%,0.26%,100.00%,3,37.50%,"₹1,260.00",3,11-05-2025
B09Y23F68L,B09Y23F68L,Pure Tree Certified Organic Moong Split without Skin | 1800 g | Yellow Moong Dal Split | Dhuli Moong Dal | Organic Moong Dal Yellow | Moong Dal Dhuli Plant Based High Protein,7,2,9,0.38%,0.37%,0.38%,12,4,16,0.44%,0.35%,0.41%,93.33%,4,44.44%,"₹1,710.00",3,11-05-2025
B0C1G4JRPT,B0C1G4JRPT,Pure Tree Certified Organic Kashmiri Lal Mirch | 200 Gram | Red Chilli Whole | Sabut Lal Mirch | Kashmiri Chilli Lal Mirch Whole Strong Smoky Spice | Dry Red Chilli Whole,12,1,13,0.66%,0.19%,0.55%,18,1,19,0.66%,0.09%,0.49%,100.00%,3,23.08%,"₹1,410.00",3,11-05-2025
B0C1G4SXQB,B0C1G4SXQB,Pure Tree Certified Organic Kashmiri Lal Mirch | 100 Gm | Red Chilli Whole | Sabut Lal Mirch | Kashmiri Chilli Lal Mirch Whole Strong Smoky Spice | Dry Red Chilli Whole,6,0,6,0.33%,0.00%,0.25%,12,0,12,0.44%,0.00%,0.31%,100.00%,4,66.67%,"₹1,116.00",3,11-05-2025
B0C1SS82TK,B0C1SS82TK,Pure Tree Glass Water Bottle | Golden Lug Cap 500 ml | Milk | Juice | Water | Shakes & All Types Of Liquid | Glass Bottles | Suitable For Fridge Storage | Pack Of 2,50,4,54,2.75%,0.74%,2.29%,74,5,79,2.70%,0.44%,2.03%,100.00%,3,5.56%,₹597.00,3,11-05-2025
B0CH84CHCL,B0CH84CHCL,Pure Tree Certified Organic Khapli Whole Wheat | 1.8 Kg | Sambu Wheat | Emmer Khapli Grain | Desi Gehu Whole Grain,12,1,13,0.66%,0.19%,0.55%,13,1,14,0.47%,0.09%,0.36%,100.00%,3,23.08%,"₹1,440.00",3,11-05-2025
B004UJCIZM,B004UJCIZM,Nordic Naturals Ultimate Omega Junior Fish Oil | 680 Total Omega-3S With EPA & DHA Supplement Fish Oil For Kids | Dietary Supplement For Kids | Strawberry Flavour 90 Mini Chewable Softgels,26,10,36,1.43%,1.86%,1.53%,51,19,70,1.86%,1.66%,1.80%,56.14%,2,5.56%,"₹9,120.00",2,11-05-2025
B07FD9R43P,B07FD9R43P,Nordic Naturals Ultimate Omega 3 Fish Oil Softgels | 1280 Mg EPA & DHA Supplement For Men & Women | High-Potency Supplement | Lemon Flavour Fish Oil 180 Softgels,14,7,21,0.77%,1.30%,0.89%,20,13,33,0.73%,1.14%,0.85%,90.00%,2,9.52%,"₹21,642.00",2,11-05-2025
B09WN15VQB,B09WN15VQB,"Pure Tree Certified Organic Fennel Seeds | | Glass Jar | Saunf, Variyali | Perumjeerakam Whole Spices Sombu Whole | Fennel Seeds Saunf | Organic Saunf Rich Flavour Sombu - 125 Gm",11,2,13,0.60%,0.37%,0.55%,16,2,18,0.58%,0.17%,0.46%,100.00%,2,15.38%,₹498.00,2,11-05-2025
B09WN192C1,B09WN192C1,Pure Tree Certified Organic Laung | 50 Gm | Glass Jar | Organic Cloves Whole | Lavang Whole Spices | Aromatic & Flavorful Clove Seeds Khada Masala | Dried Cloves | Lavangam,9,0,9,0.49%,0.00%,0.38%,12,0,12,0.44%,0.00%,0.31%,100.00%,3,33.33%,₹765.00,2,11-05-2025
B09Y215TBC,B09Y215TBC,Pure Tree Certified Organic Mustard Seeds Big | 850 g | Black Mustard Rai Seeds Big | Sasive seeds Whole Kali Rai Dana | Sarson dana Indian Spice Gluten Free,2,1,3,0.11%,0.19%,0.13%,2,1,3,0.07%,0.09%,0.08%,100.00%,3,100.00%,₹867.00,2,11-05-2025
B0B7F3FLN8,B0B7F3FLN8,Pure Tree Certified Organic Raw Peanuts | 350 g | Groundnuts Raw | Moongfali dana | Kadle Beeja Good Source Of Healthy Fats Protein | Peanut Organic Singdana Mungfali Dana,5,1,6,0.27%,0.19%,0.25%,10,1,11,0.36%,0.09%,0.28%,87.50%,2,33.33%,₹440.00,2,11-05-2025
B0BG2VTN5C,B0BG2VTN5C,Pure Tree Certified Organic Barley Cereal Grain | 350 g | Raw Jau Grain | Whole Barley | Low Glycemic Index | Barly Seeds Pearl Barley Seeds,20,2,22,1.10%,0.37%,0.93%,27,2,29,0.98%,0.17%,0.75%,92.86%,3,13.64%,₹495.00,2,11-05-2025
B0BNDJFYH5,B0BNDJFYH5,Pure Tree BPA-Free Round Glass Jar | 1500ml | Kitchen Storage with Lid | Pack of 2,90,2,92,4.95%,0.37%,3.90%,153,2,155,5.58%,0.17%,3.99%,100.00%,2,2.17%,"₹1,450.00",2,11-05-2025
B0C1V3Z1T8,B0C1V3Z1T8,Pure Tree Certified Organic Yellow Mustard Seeds | 250 g | Rai Seeds Pili Sarson dana | Aromatic Organic Mustard Seeds Kadugu Avalu | Yellow Sarso Seeds,5,3,8,0.27%,0.56%,0.34%,9,3,12,0.33%,0.26%,0.31%,100.00%,4,50.00%,₹680.00,2,11-05-2025
B0CMH3KMXR,B0CMH3KMXR,Naturtint Permanent Hair Colour Gel Medium Brown 4N|For Optimal Scalp Care| Upto 100% Grey Coverage | Long Lasting Hair Colour | Ammonia Free Vegan| No Parabens| Enriched with Olives & Organic Shea Butter,22,7,29,1.21%,1.30%,1.23%,37,11,48,1.35%,0.96%,1.23%,47.73%,2,6.90%,"₹2,500.00",2,11-05-2025
B0DPFVH1J5,B0DPFVH1J5,Pure Tree Certified Organic Carom Seeds | 350 g | Ajwain Seeds | Omam | Vamu | Ajowan | Ayamodakam Seeds Rich In Antioxidants,1,0,1,0.05%,0.00%,0.04%,2,0,2,0.07%,0.00%,0.05%,100.00%,2,200.00%,₹578.00,2,11-05-2025
B0DTJ2V2Y2,B0DTJ2V2Y2,Pure Tree Certified Organic Wheat MP Sehori | 5 kg | Sharbati Wheat Whole | Wheat Sihore Gehu | Gehu Whole Wheat Grains | Whole Wheat Organic MP Sharbati Wheat,3,1,4,0.16%,0.19%,0.17%,3,2,5,0.11%,0.17%,0.13%,100.00%,4,100.00%,"₹3,196.00",2,11-05-2025
B000H3VC0W,B000H3VC0W,Nordic Naturals Children’S DHA For Omega 3 | Fish Oil For Kids 250 Mg From Arctic Cod Liver Oil | Omega 3 EPA & DHA For Kids 3-6 Yrs| Brain Development & Immunity Strawberry Fish Oil 90 Mini Softgels,10,6,16,0.55%,1.12%,0.68%,15,12,27,0.55%,1.05%,0.69%,96.00%,1,6.25%,"₹2,532.00",1,11-05-2025
B000JVEEZC,B000JVEEZC,Earth Mama Angel Baby Earth Mama Bottom Balm,1,2,3,0.05%,0.37%,0.13%,3,2,5,0.11%,0.17%,0.13%,100.00%,1,33.33%,"₹1,750.00",1,11-05-2025
B000PSX1SA,B000PSX1SA,Nordic Naturals Children's Dha For Omega 3 | Fish Oil For Kids 530Mg From Arctic Cod Liver Oil | Omega 3 Fish Oil Epa & Dha For Kids For Brain Development & Immunity | Strawberry Flavour 4 Floz 119 Ml,56,13,69,3.08%,2.42%,2.93%,130,49,179,4.74%,4.28%,4.61%,51.02%,1,1.45%,"₹3,163.64",1,11-05-2025
B002CQU54Q,B002CQU54Q,"Nordic Naturals Ultimate Omega 3 Softgels | Omega 3 1280 Mg EPA & DHA Supplement For Men & Women | High-Potency Omega 3 Supplement | Lemon| Fish Oil 120 Softgels,2 count,120 capsules",61,17,78,3.35%,3.16%,3.31%,89,27,116,3.25%,2.36%,2.98%,12.75%,1,1.28%,"₹7,010.00",1,11-05-2025
B002CQU58M,B002CQU58M,Nordic Naturals Omega 3 Fish Oil In Fish Gelatin Softgels | 690 Mg Omega 3 Fish Oil With EPA & DHA Supplement | Omega 3 Supplement For Pescatarian & Restricted Diets | 60 Fish Oil Lemon Softgels,13,7,20,0.71%,1.30%,0.85%,20,13,33,0.73%,1.14%,0.85%,38.71%,1,5.00%,"₹2,850.00",1,11-05-2025
B002CQU58W,B002CQU58W,"Nordic Naturals Omega 3 Pet Supplement | 330 mg Omega 3 Dog Skin and Coat Supplement | Fish Oil for Dogs with EPA & DHA | Promotes Heart, Skin, Coat, Joint, & Immune Health - Unflavored 90 Soft Gels",3,1,4,0.16%,0.19%,0.17%,4,7,11,0.15%,0.61%,0.28%,100.00%,1,25.00%,"₹3,686.00",1,11-05-2025
B002CQU59Q,B002CQU59Q,"Nordic Naturals Arctic Cod Liver Oil|750 Mg Omega 3 Fish Oil Epa & Dha Supplement|Omega 3 Cod Liver Oil Liquid For Heart,Brain Health & Optimal Wellness|Flavour Lemon Fish Oil,1 Count,180 Capsule",7,2,9,0.38%,0.37%,0.38%,10,8,18,0.36%,0.70%,0.46%,70.59%,1,11.11%,"₹7,183.00",1,11-05-2025
B002WTCLHC,B002WTCLHC,"Nordic Naturals Omega 3 Liquid | 1560 Mg Omega 3 Fatty Acid | Sardine Fish Oil Syrup With EPA & DHA Supplement For Heart, Brain Health & Immune Support | Fish Oil Lemon Flavour 16 Floz 473 ml",3,2,5,0.16%,0.37%,0.21%,5,8,13,0.18%,0.70%,0.33%,84.62%,1,20.00%,"₹8,944.00",1,11-05-2025
B002WTCM3A,B002WTCM3A,"Nordic Naturals Arctic Cod Liver Oil|1060 Mg Omega 3 Fish Oil Epa & Dha Supplement|Omega 3 Cod Liver Oil Liquid For Heart,Brain Health|Flavour Orange Fish Oil 8 Fl Oz(237 Ml),48 Servings",8,4,12,0.44%,0.74%,0.51%,13,12,25,0.47%,1.05%,0.64%,91.30%,2,16.67%,"₹11,152.00",1,11-05-2025
B004NXYP5G,B004NXYP5G,Nordic Naturals Prenatal DHA Supplement 830Mg Omega 3 Fish Oil+400 Iu VitaminD3 For Babies During Pregnancy & Lactation Vitamins For Pregnancy | Unflavoured 180 Fishoil Softgel,14,3,17,0.77%,0.56%,0.72%,20,9,29,0.73%,0.79%,0.75%,96.30%,1,5.88%,"₹9,419.00",1,11-05-2025
B00C5HU7JA,B00C5HU7JA,"Nordic Naturals Omega 3 EPA And DHA|690Mg Omega 3 Support Brain, Heart Health & Immunity|Omega For Men & Women Lemon Flavour, 1 count, 120 capsules",5,4,9,0.27%,0.74%,0.38%,7,11,18,0.26%,0.96%,0.46%,41.18%,1,11.11%,"₹4,587.00",1,11-05-2025
B015TQ7USO,B015TQ7USO,"Nordic Naturals Ultimate Omega 2X | 2150 Mg Omega 3 Fish Oil Supplement EPA And DHA | Omega 3 For Optimum Wellness & Brain, Heart Health | Omega 3 Lemon Fish Oil For Men And Women | 60 Softgels",12,6,18,0.66%,1.12%,0.76%,18,28,46,0.66%,2.45%,1.18%,88.64%,1,5.56%,"₹7,103.00",1,11-05-2025
B075879G43,B075879G43,"Nordic Naturals Children'S DHA Xtra|Fish Oil For Kids 636 Mg Omega 3 EPA & DHA For Kids Supports Brain Development (Age 1-6 Yrs) Berry Punch 90 Fish Oil Gummies -Mini SoftGel, 0.06 grams",19,3,22,1.04%,0.56%,0.93%,33,11,44,1.20%,0.96%,1.13%,100.00%,1,4.55%,"₹3,315.00",1,11-05-2025
B075882FKG,B075882FKG,"Nordic Naturals Children'S DHA Xtra|880 mg Omega 3 Fish Oil From Arctic Cod Liver Oil|EPA & DHA For Kids Supports Brain Development Kids Ages 1-6 Yrs|Berry Punch Fish Oil (60 ml), 0.14 grams",24,9,33,1.32%,1.67%,1.40%,45,27,72,1.64%,2.36%,1.85%,98.44%,1,3.03%,"₹4,622.00",1,11-05-2025
B09LYZ3PL3,B09LYZ3PL3,Pure Tree Certified Organic Elaichi | 50 g | Organic Green Cardamom Whole Spices Hari Chhoti Elaichi Seeds Unique Aroma & Pleasant Flavour,5,0,5,0.27%,0.00%,0.21%,6,0,6,0.22%,0.00%,0.15%,100.00%,1,20.00%,₹499.00,1,11-05-2025
B09M3PY1XK,B09M3PY1XK,"Pure Tree Certified Organic Malka Masoor Dal Without Skin | 850 g | Vegan | Gluten-Free Maasur Daal | Red Lentil Whole | Lal Masoor Dal For Khichdi, Dal & Curries",1,1,2,0.05%,0.19%,0.08%,1,1,2,0.04%,0.09%,0.05%,100.00%,1,50.00%,₹280.00,1,11-05-2025
B09M3Q6Q2K,B09M3Q6Q2K,Pure Tree Certified Organic Kala Chana | 850 g | Brown Chickpeas | Desi Chana Whole Kadle Kalu | Plant Based High Protein Kondakadalai | Black Gram Whole Black Chickpeas,1,1,2,0.05%,0.19%,0.08%,3,1,4,0.11%,0.09%,0.10%,25.00%,1,50.00%,₹263.00,1,11-05-2025
B09M3R9GXP,B09M3R9GXP,Pure Tree Certified Organic Green Moong Dal Split With Skin | 850 g | Chilka Mung Dal Plant Based High Protein Gluten Free,2,0,2,0.11%,0.00%,0.08%,2,0,2,0.07%,0.00%,0.05%,100.00%,1,50.00%,₹299.00,1,11-05-2025
B09M3RMBRN,B09M3RMBRN,Pure Tree Certified Organic Mustard Seeds Small | 250 g | Black Small Mustard Rai Seeds Small | Sasive seeds Whole Kali Rai Dana | Sarson dana Indian Spice Gluten Free,1,2,3,0.05%,0.37%,0.13%,1,2,3,0.04%,0.17%,0.08%,100.00%,1,33.33%,₹179.00,1,11-05-2025
B09M3S78MX,B09M3S78MX,Pure Tree Certified Organic Urad Dal Split Without Skin | 850 g | White Urad Dal Split | Dhuli Urad Daal White Minapa Pappu | Urad Dhuli Dal | Gluten-Free Uzhunnu Parippu,2,0,2,0.11%,0.00%,0.08%,2,0,2,0.07%,0.00%,0.05%,100.00%,1,50.00%,₹365.00,1,11-05-2025
B09M3SCZTL,B09M3SCZTL,Pure Tree Certified Organic Moong Split without Skin | 850 g | Yellow Moong Dal Split | Dhuli Moong Dal | Organic Moong Dal Yellow | Moong Dal Dhuli Plant Based High Protein,3,1,4,0.16%,0.19%,0.17%,9,1,10,0.33%,0.09%,0.26%,100.00%,1,25.00%,₹299.00,1,11-05-2025
B09M3SFJ9Q,B09M3SFJ9Q,Pure Tree Certified Organic Jaggery Powder | 350 g | Gur Powder Jaggery Organic | Sugarcane Desi Gud Powder from Jaggery Block (No Preservatives),1,0,1,0.05%,0.00%,0.04%,3,0,3,0.11%,0.00%,0.08%,100.00%,1,100.00%,₹166.00,1,11-05-2025
B09M3SJ771,B09M3SJ771,"Pure Tree Certified Organic Toor Dal | 850 g | Split Pigeon Peas | Arhar Dal | Tur Dal | Thogari Bele, Thuvaram Paruppu, Tuvara Parippu, Kandipappu | Legumes",5,0,5,0.27%,0.00%,0.21%,5,0,5,0.18%,0.00%,0.13%,80.00%,1,20.00%,₹369.00,1,11-05-2025
B09M3T23CT,B09M3T23CT,Pure Tree Certified Organic White Chawli | 850 g | White Lobia Dal | Chavli | Black Eyed Beans | Cowpea Plant Based High Protein,4,1,5,0.22%,0.19%,0.21%,4,1,5,0.15%,0.09%,0.13%,80.00%,1,20.00%,₹267.00,1,11-05-2025
B09M3T9HK5,B09M3T9HK5,"Pure Tree Certified Organic Jammu Rajma | 850 g | Kidney Beans | Vegan, Gluten-Free | High Protein Plant-Based Food",1,2,3,0.05%,0.37%,0.13%,2,2,4,0.07%,0.17%,0.10%,100.00%,1,33.33%,₹299.00,1,11-05-2025
B09M3VMCXJ,B09M3VMCXJ,Pure Tree Certified Organic Jeera Powder | 250 grams | Jeelakarra | Zeera Powder | Cumin Powder | Organic Spices | Boost Immunity | Adds Flavor to Curries & Veg,1,1,2,0.05%,0.19%,0.08%,1,2,3,0.04%,0.17%,0.08%,100.00%,1,50.00%,₹282.00,1,11-05-2025
B09RV41KJ4,B09RV41KJ4,Pure Tree Certified Organic Jeera Seeds | 350 g | Cumin Seeds | Sabut Jeera | Jeera Whole Spices | Jeelakarra | Zeera | Organic Spices | Boost Immunity | For Curries & Veg,17,0,17,0.93%,0.00%,0.72%,24,0,24,0.88%,0.00%,0.62%,100.00%,1,5.88%,₹350.00,1,11-05-2025
B09RV5DFK5,B09RV5DFK5,Pure Tree Certified Organic Dalchini Whole | 100 g | Dalchini Cinnamon Stick Organic | Cinnamon Bark | Spices Whole | Garam Masala | Sweet Aroma & Flavour,13,1,14,0.71%,0.19%,0.59%,20,1,21,0.73%,0.09%,0.54%,100.00%,1,7.14%,₹195.00,1,11-05-2025
B09RZVTC6K,B09RZVTC6K,Pure Tree Certified Organic Chia Seeds | 850 g | Protein Snacks For Weight Loss | Raw Chia Seeds | Organic Seeds For Eating | Chia Beeja Sia Seeds Healthy Snacks,1,0,1,0.05%,0.00%,0.04%,1,0,1,0.04%,0.00%,0.03%,100.00%,1,100.00%,₹545.00,1,11-05-2025
B09WMZ8NDK,B09WMZ8NDK,Pure Tree Certified Organic Dalchini Powder | 150 Gm | Glass Jar | Organic Cinnamon Powder | Dal Chini Powder Indian Spices Aroma & Flavour | Gluten Free Cineman Dalchini,1,0,1,0.05%,0.00%,0.04%,1,0,1,0.04%,0.00%,0.03%,100.00%,1,100.00%,₹275.00,1,11-05-2025
B09WN1TFD4,B09WN1TFD4,Pure Tree Certified Organic Methi Dana | 250 g | Glass Jar | Organic Fenugreek Seeds | Methi Seeds Whole Spices | Menthulu Seeds | Vendayam | Rich in Aroma and Flavour,3,1,4,0.16%,0.19%,0.17%,3,2,5,0.11%,0.17%,0.13%,100.00%,1,25.00%,₹231.00,1,11-05-2025
B09WN22JXR,B09WN22JXR,Pure Tree Certified Organic Elaichi | 40 g | Glass Jar | Organic Green Cardamom Whole Spices Hari Chhoti Elaichi Seeds Unique Aroma & Pleasant Flavour,5,0,5,0.27%,0.00%,0.21%,5,0,5,0.18%,0.00%,0.13%,100.00%,1,20.00%,₹455.00,1,11-05-2025
B09XXKTR8N,B09XXKTR8N,Pure Tree Certified Organic Kali Mirch Whole | 100 g | Organic Black Pepper Whole | Black Peppercorn | Aromatic Black Pepper Seeds | Miriyalu Whole Spices,0,0,0,0.00%,0.00%,0.00%,0,0,0,0.00%,0.00%,0.00%,0.00%,1,0.00%,₹269.00,1,11-05-2025
B09XXVBJZR,B09XXVBJZR,Pure Tree Certified Organic Mustard Seeds Small | 850 g | Black Small Mustard Rai Seeds Small | Sasive seeds Whole Kali Rai Dana | Sarson dana Indian Spice Gluten Free,0,0,0,0.00%,0.00%,0.00%,0,0,0,0.00%,0.00%,0.00%,0.00%,1,0.00%,₹359.00,1,11-05-2025
B09Y22V1FL,B09Y22V1FL,Pure Tree Certified Organic Urad Dal Split Without Skin | 1.8 Kg / 1800 g | White Urad Dal Split | Dhuli Urad Daal White Minapa Pappu | Urad Dhuli Dal | Gluten-Free Uzhunnu Parippu,2,1,3,0.11%,0.19%,0.13%,2,1,3,0.07%,0.09%,0.08%,100.00%,1,33.33%,₹645.00,1,11-05-2025
B09Y23DWBQ,B09Y23DWBQ,"Pure Tree Certified Organic Malka Masoor Dal Without Skin | 1.8 Kg / 1800 g | Vegan | Gluten-Free Maasur Daal | Red Lentil Whole | Lal Masoor Dal For Khichdi, Dal & Curries",1,0,1,0.05%,0.00%,0.04%,1,0,1,0.04%,0.00%,0.03%,100.00%,2,200.00%,₹910.00,1,11-05-2025
B09Y24B7RT,B09Y24B7RT,Pure Tree Certified Organic Kabuli Chana | 1.8 Kg / 1800 g | Chole Chana | Dollar Chickpeas | Safed Chana High In Fiber & Protein Safed Chole | White Chole Vatana,0,0,0,0.00%,0.00%,0.00%,0,0,0,0.00%,0.00%,0.00%,0.00%,1,0.00%,₹680.00,1,11-05-2025
B0B6R4317Z,B0B6R4317Z,Pure Tree Round Glass Jar 750 ml | BPA Free Glass jars for kitchen storage | Kitchen Containers with lid | Multipurpose Jar | Airtight Storage Container | Premium Aluminium Cap | Pack Of 2,1,0,1,0.05%,0.00%,0.04%,2,0,2,0.07%,0.00%,0.05%,100.00%,1,100.00%,₹399.00,1,11-05-2025
B0B7BCSXS7,B0B7BCSXS7,"Pure Tree Certified Organic White Jada Poha | 850 g | Thick Poha | Flattened Rice | White Poha | Beaten Rice | Avalakki, Atukulu, Chira, Pohe, Phovu, Chivda | Gluten-Free",3,2,5,0.16%,0.37%,0.21%,3,3,6,0.11%,0.26%,0.15%,100.00%,2,40.00%,₹500.00,1,11-05-2025
B0B7BFL1VS,B0B7BFL1VS,Pure Tree Certified Organic Khapli Whole Wheat | 350g | Sambu Wheat | Emmer Khapli Grain | Desi Gehu Whole Grain,3,0,3,0.16%,0.00%,0.13%,4,0,4,0.15%,0.00%,0.10%,100.00%,1,33.33%,₹199.00,1,11-05-2025
B0B7BGHXJK,B0B7BGHXJK,Pure Tree Certified Organic Ragi Whole | 850g | Finger Millet (Nachni/Nagli) | Gluten-Free Whole Grain,5,3,8,0.27%,0.56%,0.34%,7,3,10,0.26%,0.26%,0.26%,100.00%,1,12.50%,₹208.00,1,11-05-2025
B0B7F4ST65,B0B7F4ST65,Pure Tree Certified Organic Sunflower Seeds | 250 g | Surajmukhi ke Beej | Raw Sunflower Seeds | Organic Seeds for Eating Rich In Healthy Fats & Fiber,0,0,0,0.00%,0.00%,0.00%,0,0,0,0.00%,0.00%,0.00%,0.00%,1,0.00%,₹260.00,1,11-05-2025
B0BG2W2JNB,B0BG2W2JNB,"Pure Tree Certified Organic Wheat Daliya lapsi | 850 g | Broken Bulgur Wheat | Godhuma Daliya | Gehoon | For Upma, Porridge, Khichdi",3,0,3,0.16%,0.00%,0.13%,5,0,5,0.18%,0.00%,0.13%,100.00%,1,33.33%,₹231.00,1,11-05-2025
B0BMX93SHN,B0BMX93SHN,"Pure Tree Certified Organic Red Poha | 850 g | Red Aval | Red Rice Flakes | Red Rice Poha | Flattened Rice | Beaten Rice | Avalakki, Atukulu, Chira, Pohe, Phovu, Chivda | Gluten-Free",7,3,10,0.38%,0.56%,0.42%,9,6,15,0.33%,0.52%,0.39%,100.00%,1,10.00%,₹263.00,1,11-05-2025
B0BN32W3JH,B0BN32W3JH,Pure Tree Certified Organic Sooji | 850 g | Rawa Suji | Rava | Semolina Sooji | Idly Rawa | Rich In Iron & B Vitamins For Healthy Breakfast Staples Upma Rava Dosa,3,1,4,0.16%,0.19%,0.17%,3,1,4,0.11%,0.09%,0.10%,100.00%,2,50.00%,₹0.00,1,11-05-2025
B0BTY571WF,B0BTY571WF,Pure Tree Certified Organic Jeera Seeds | 250 Gm | Cumin Seeds | Sabut Jeera | Jeera Whole Spices | Jeelakarra | Zeera | Organic Spices | Boost Immunity | For Curries & Veg | Pack Of 2,2,0,2,0.11%,0.00%,0.08%,2,0,2,0.07%,0.00%,0.05%,100.00%,2,100.00%,₹998.00,1,11-05-2025
B0BY4K5YY7,B0BY4K5YY7,Pure Tree Certified Organic Black Cardamom Whole | 100 g | Badi Elaichi Indian Spice | Moti Elaichi Organic Adds Aroma and Flavour | Cardamom Elaichi Whole,12,4,16,0.66%,0.74%,0.68%,12,5,17,0.44%,0.44%,0.44%,100.00%,1,6.25%,₹575.00,1,11-05-2025
