(Parent) ASIN,(Child) ASIN,Title,Sessions - Mobile App,Sessions - Browser,Sessions - Total,Session Percentage - Mobile App,Session Percentage - Browser,Session Percentage - Total,Page Views - Mobile App,Page Views - Browser,Page Views - Total,Page Views Percentage - Mobile App,Page Views Percentage - Browser,Page Views Percentage - Total,Featured Offer Percentage,Units Ordered,Unit Session Percentage,Ordered Product Sales,Total Order Items,Date
B0BY4LQW7V,B0BY4LQW7V,Pure Tree Certified Organic Rajgira | 350 g | Amaranth Millet | Ramdana Seed | Cholai Dana Amaranth Seeds Whole | Rajgira Seeds Organic MIllets - Gluten Free,1,0,1,0.0006,0,0.0004,2,0,2,0.0008,0,0.0006,1,0,0,₹0.00,0,12-05-2025
B0BY4M9JM2,B0BY4M9JM2,Pure Tree Certified Organic Jaggery Lumps | 900 g | Gur Powder Jaggery Organic | Desi Jaggery Gud - Sugarcane Jaggery For Tea | Organic Gud from Jaggery Block (No Preservatives),0,1,1,0,0.0019,0.0004,0,2,2,0,0.0017,0.0006,1,0,0,₹0.00,0,12-05-2025
B0BY4PPR64,B0BY4PPR64,Pure Tree Certified Organic Jaggery Cubes Small | 850 g | Gur Cubes Small | Desi Gud Jaggery Cubes Desi Jaggery Gud - Sugarcane Jaggery For Tea | Organic Gud from Jaggery Block (No Preservatives),2,0,2,0.0012,0,0.0009,2,0,2,0.0008,0,0.0006,1,0,0,₹0.00,0,12-05-2025
B0BYDNX1L6,B0BYDNX1L6,Pure Tree Certified Organic Yellow Mustard Seeds | 350 g | Rai Seeds Pili Sarson dana | Aromatic Organic Mustard Seeds Kadugu Avalu | Yellow Sarso Seeds,1,0,1,0.0006,0,0.0004,1,0,1,0.0004,0,0.0003,1,0,0,₹0.00,0,12-05-2025
B0C1G4JRPT,B0C1G4JRPT,Pure Tree Certified Organic Kashmiri Lal Mirch | 200 Gram | Red Chilli Whole | Sabut Lal Mirch | Kashmiri Chilli Lal Mirch Whole Strong Smoky Spice | Dry Red Chilli Whole,8,0,8,0.0046,0,0.0035,13,0,13,0.0053,0,0.0036,1,0,0,₹0.00,0,12-05-2025
B0C1G4SXQB,B0C1G4SXQB,Pure Tree Certified Organic Kashmiri Lal Mirch | 100 Gm | Red Chilli Whole | Sabut Lal Mirch | Kashmiri Chilli Lal Mirch Whole Strong Smoky Spice | Dry Red Chilli Whole,13,1,14,0.0075,0.0019,0.0062,17,1,18,0.0069,0.0009,0.005,1,0,0,₹0.00,0,12-05-2025
B0C1SVCRM4,B0C1SVCRM4,Pure Tree Octangle Glass Jar 450 ml | BPA Free Glass jars for kitchen storage | Kitchen Containers with lid | Multipurpose Jar | Airtight Storage Container | Black Lug Cap | Pack Of 4,1,0,1,0.0006,0,0.0004,1,0,1,0.0004,0,0.0003,1,0,0,₹0.00,0,12-05-2025
B0C1SXXV7D,B0C1SXXV7D,Pure Tree Designer Glass Jar 350 ml | BPA Free Glass jars for kitchen storage | Kitchen Containers with lid | Multipurpose Jar | Glass Storage Container | Silver Metal Cap | Pack Of 2,2,0,2,0.0012,0,0.0009,2,0,2,0.0008,0,0.0006,1,0,0,₹0.00,0,12-05-2025
B0C1T2BJ3W,B0C1T2BJ3W,Pure Tree Octangle Glass Jar 450 ml | BPA Free Glass jars for kitchen storage | Kitchen Containers with lid | Multipurpose Jar | Airtight Storage Container | Black Lug Cap | Pack Of 2,1,0,1,0.0006,0,0.0004,1,0,1,0.0004,0,0.0003,1,0,0,₹0.00,0,12-05-2025
B0C2448BV6,B0C2448BV6,"Nordic Naturals Baby's Vitamin D3 | Cholecalciferol Vitamin D3 Supplement | Vit D Drop For Infants Supports Healthy Bone, Normal Sleep & Healthy Immunity Vitamin D3 Drops for Baby 0.76 Fl Oz (22.5 ml)",12,5,17,0.0069,0.0096,0.0075,13,11,24,0.0053,0.0096,0.0067,1,0,0,₹0.00,0,12-05-2025
B0C749GM5H,B0C749GM5H,"Pure Tree Certified Organic Lokwan Whole Wheat | 850 g | Golden Grain | Organic Wheat Whole Grain | Gehu Whole Wheat Thick and Heavy Grain For Chapatti, Roti & Paratha",1,0,1,0.0006,0,0.0004,3,0,3,0.0012,0,0.0008,1,0,0,₹0.00,0,12-05-2025
B0C74B25FY,B0C74B25FY,"Pure Tree Certified Organic Lokwan Whole Wheat | 1.8 Kg / 1800 g | Golden Grain | Organic Wheat Whole Grain | Gehu Whole Wheat Thick and Heavy Grain For Chapatti, Roti & Paratha",1,0,1,0.0006,0,0.0004,1,0,1,0.0004,0,0.0003,1,0,0,₹0.00,0,12-05-2025
B0C74CXWZB,B0C74CXWZB,Pure Tree Certified Organic Indrayani Rice (White) | 850 g | Indrani Chawal | White Rice | Raw Rice Gluten Free Low Glycemic & Calorie,5,0,5,0.0029,0,0.0022,5,0,5,0.002,0,0.0014,1,0,0,₹0.00,0,12-05-2025
B0CBML4CDN,B0CBML4CDN,"Pure Tree Certified Organic Raisins, Kishmish | 350 g | Seedless Raisins Kismis | Nutritious Resins Dry Fruit | Premium Raisins Organic For Sweets, Snack Bars and Salads",1,0,1,0.0006,0,0.0004,1,0,1,0.0004,0,0.0003,1,0,0,₹0.00,0,12-05-2025
B0CBMLFC8L,B0CBMLFC8L,"Pure Tree Certified Organic Raisins, Kishmish | 200 grams | Seedless Raisins Kismis | Nutritious Resins Dry Fruit | Premium Raisins Organic For Sweets, Snack Bars and Salads",0,1,1,0,0.0019,0.0004,0,1,1,0,0.0009,0.0003,0,0,0,₹0.00,0,12-05-2025
B0CC5Y72X8,B0CC5Y72X8,Pure Tree Round Glass Jar 1000 ml | BPA Free Glass jars for kitchen storage | Kitchen Containers with lid | Multipurpose Jar | Airtight Storage Container | Red Cap | Pack Of 2,5,0,5,0.0029,0,0.0022,8,0,8,0.0033,0,0.0022,1,0,0,₹0.00,0,12-05-2025
B0CCJ79DG9,B0CCJ79DG9,Pure Tree Cubical Glass Jar 800 ml | BPA Free Glass jars for kitchen storage | Kitchen Containers with lid | Multipurpose Jar | Glass Storage Container | See Through Cap | Pack Of 4,1,0,1,0.0006,0,0.0004,1,0,1,0.0004,0,0.0003,1,0,0,₹0.00,0,12-05-2025
B0CFV8XFV7,B0CFV8XFV7,Pure Tree Certified Organic Freshly Milled Amaranth Flour | 850 g | Rajgira Atta Ramdana Organic Atta | Amaranth Flour | Gluten Free Atta,1,0,1,0.0006,0,0.0004,1,0,1,0.0004,0,0.0003,1,0,0,₹0.00,0,12-05-2025
B0CFV9HYNR,B0CFV9HYNR,Pure Tree Certified Organic Freshly Milled Ragi Flour Finger Millet | 1.8 Kg / 1800 g | Finger Millet | Nachni | Nagli | Ragi Millet Gluten-Free | Bavto | Red Finger Millet | Ragi Whole Grain,0,1,1,0,0.0019,0.0004,0,1,1,0,0.0009,0.0003,1,0,0,₹0.00,0,12-05-2025
B0CFVCMCNL,B0CFVCMCNL,Pure Tree Certified Organic Besan Chana Atta | 1.8 Kg / 1800 g | Chana Flour | Freshly Milled Fine Besan Organic Gram Flour | Kadalai Maavu | Chana dal flour | Chana Besan,0,1,1,0,0.0019,0.0004,0,1,1,0,0.0009,0.0003,1,0,0,₹0.00,0,12-05-2025
B0CFVPG6H4,B0CFVPG6H4,Pure Tree Certified Organic Freshly Milled Wheat Flour Khapli Aata | 850 g | Emmer Flour | Organic Aata | Khapli Wheat Flour | Gehu ka Aata | Low Gluten,1,0,1,0.0006,0,0.0004,1,0,1,0.0004,0,0.0003,1,0,0,₹0.00,0,12-05-2025
B0CFVR777T,B0CFVR777T,Pure Tree Certified Organic Freshly Milled Wheat Flour Khapli Aata 1.8 Kg | Emmer Flour 1800 g | Organic Aata | Khapli Wheat Flour | Gehu ka Aata | Low Gluten,2,0,2,0.0012,0,0.0009,2,0,2,0.0008,0,0.0006,0.5,0,0,₹0.00,0,12-05-2025
