"ID","SKU","Title","Rack Id","Quantity","Expiry Date","MRP","isFBA"
"175873","PT0148","Spiced Tea Masala Powder","M11","280","-","1498.87",""
"175873","PT0148","Spiced Tea Masala Powder","M12","50","-","1498.87",""
"175897","PT0149","Sesame Oil","M11","13000","-","271.70",""
"176174","PT0154","Ajwain Powder","M11","860","-","344.56",""
"176174","PT0154","Ajwain Powder","M13","2460","-","344.56",""
"176433","PT0154-000060GB","Ajwain Powder | 60 g | Glass Bottle","BLR8","7","-","199.00","1"
"176433","PT0154-000060GB","Ajwain Powder | 60 g | Glass Bottle","BOM5","1","-","199.00","1"
"176433","PT0154-000060GB","Ajwain Powder | 60 g | Glass Bottle","PNQ3","2","-","199.00","1"
"176246","PT0154-000100BP","Ajwain Powder | 100 g | Brown Pouch","TW","10","-","225.00","1"
"176435","PT0154-000200BP","Ajwain Powder | 200 g | Brown Pouch","R12","1","-","250.00",""
"176175","PT0155","Chaat Masala","M13","620","-","299.43",""
"176253","PT0156","Fenugreek Powder","M11","220","-","0.00",""
"176451","PT0168","Garam Masala Whole","M12","200","-","0.00",""
"176493","PT0168-000100BP","Garam Masala Whole | 100 g | Brown Pouch","B45","2","-","350.00",""
"176449","PT0169","Presoaked Mix Millet Flour (Foxtail, Barnyard, Little , Kodu, Finger Millet)","M12","1000","-","0.00",""
"176721","PT0170","Guntur Chilli","M11","19450","-","650.00",""
"176722","PT0171","Byadagi Chilli","M11","45650","-","350.00",""
"176680","PT0250PRJSC","Pure Tree Glass Jar 250ml Round Jar with Silver Cap","D53","1326","04/30/2026","1120.00",""
"172940","PT0350DJSMC","350 Ml GD Charkut Jar DB-24","D53","32","04/30/2026","4888.00",""
"173912","PT0402UF8006","MINITALLA HAIRFOOD QUINOA 30 ML. UK","N13","105","12/31/2028","481.00",""
"172941","PT0450JOBLC","450gm GD Chuttmey DB-24","D53","1317","04/30/2026","4966.00",""
"172941","PT0450JOBLC","450gm GD Chuttmey DB-24","R12","1","04/30/2026","4966.00",""
"169586","PT0500PRJGLC","Pure Tree Round Jar with Airtight Golden Lug Cap 500 ml","D53","782","05/31/2025","7696.00",""
"169586","PT0500PRJGLC","Pure Tree Round Jar with Airtight Golden Lug Cap 500 ml","R12","4","05/31/2025","7696.00",""
"173465","PT1000PRJRC","Pure Tree Glass Jar | Round Jar 1000 ml | for Storage Kitchen | Transparent Containers for Kitchen Pantry, Flour, Dry Fruits | Airtight Glass Container | Red Cap","D53","1928","07/21/2026","9269.00",""
"173465","PT1000PRJRC","Pure Tree Glass Jar | Round Jar 1000 ml | for Storage Kitchen | Transparent Containers for Kitchen Pantry, Flour, Dry Fruits | Airtight Glass Container | Red Cap","R12","2","07/21/2026","9269.00",""
"170242","PT1000PRJSTC","Pure Tree Piramal Glass Food Grade Glass Jar 1000 ML See Through Cap","D53","1146","07/31/2025","770.00",""
"170242","PT1000PRJSTC","Pure Tree Piramal Glass Food Grade Glass Jar 1000 ML See Through Cap","R12","4","07/31/2025","770.00",""
"170253","PT1400SJSTC","Pure Tree Piramal Glass Food Grade Square Glass Jar 1400 ML See Through Cap","D53","1","07/31/2025","11120.00",""
"170341","PT1500PRJSTC","Pure Tree Plain Round Jar with See Through Cap 1500ml","D52","5","05/08/2028","13549.00",""
"170341","PT1500PRJSTC","Pure Tree Plain Round Jar with See Through Cap 1500ml","D53","1","04/19/2028","13549.00",""
"170248","PT2000PRJSTC","Pure Tree Piramal Glass Food Grade Plain Round Glass Jar 2000 ML See Through Cap","D53","4","03/22/2026","15528.00",""
"170246","PT2700SJSTC","Pure Tree Piramal Glass Food Grade Square Glass Jar 2700 ML See Through Cap","D53","1","07/31/2026","16720.00",""
"170345","PT4500PRJRC","Pure Tree Plain Round Jar with Red Cap 4500ml","R12","1","07/31/2025","21680.00",""
